Institution,Source
Multiple,"For the OECD Coal Agreement see: OECD, “Sector Understanding on Export Credits for Coal-Fired Electricity Generation Projects,” 27 November 2015, http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=TAD/PG(2015)9/FINAL&docLanguage=En; Kate DeAngelis and Bronwen Tucker, “Adding Fuel to the Fire: Export Credit Agencies and Fossil Fuel Finance,” Friends of the Earth US and Mozambique, January 2020, https://1bps6437gg8c169i0y1drtgzwpengine.netdna-ssl.com/wp-content/uploads/2020/01/FoE_ECAs_R6_JM.pdf; For coal exclusion policies in place by Q2 2019 see: Ipek Gencsu et al., G20 coal subsidies: tracking government support to a fading industry, Overseas Development Institute, Natural Resources Defence Council, International Institute for Sustainable Development, and Oil Change International, June 2019, https:// www.odi.org/publications/11355-g20-coal-subsidies-tracking-government-support-fading-industry."
Brazil,"350 Brazil, https://350.org/bye-bye-coal-bndes-finally-leaves-the-dirty-mineral-behind/; Brazilian Development Bank, https://www.bndes.gov.br/SiteBNDES/bndes/bndes_en/Institucional/Social_and_Environmental_Responsibility/socioenvironmental_policy/environmental_criteria_power_generation.html"
Canada,"Export Development Canada, https://www.edc.ca/en/blog/edc-net-zeroemissions-2050.html"
China,"Reuters, https://www.reuters.com/world/china/xi-says-china-aims-provide-2-bln-vaccine-doses-by-year-end-2021-09-21/"
France,"AFD Group, https://www.afd.fr/en/ressources/energy-transition-strategy-2019-2022; BPIFrance and Coface, https://priceofoil.org/2021/11/22/new-research-e3f-countries-need-to-shift-their-eur-19-billion-in-export-finance-for-fossil-fuels-to-renewables/; Caisse des Dépôts, https://www.caissedesdepots.fr/en/news/cdc-group-strengthens-its-policy-financing-fossil-fuels"
Germany,"KfW Group, https://www.kfw.de/PDF/Download-Center/Konzernthemen/Nachhaltigkeit/Ausschlussliste_EN.pdf; Bloomberg, https://www.bloomberg.com/news/articles/2019-07-02/german-lender-pulls-out-of-coalas-merkel-vows-greener-finance"
Japan,"Friends of the Earth Japan, https://foejapan.org/en/issue/20210716/3861/; E3G, https://www.e3g.org/library/executive-summary-bankingon-asia"
Korea,"Reuters, https://www.reuters.com/article/global-climate-summit-southkorea-idUSL4N2MF3R2"
United Kingdon,"UK Government, https://www.gov.uk/government/consultations/aligning-uk-international-support-for-the-clean-energy-transition"
United States,A December 2021 Interim Guidance is in place but has not been made public. A leaked memo summarizing the Guidance is available here: https://priceofoil.org/2021/12/10/us-international-guidance-response/
,
,
European Investment Bank,"EIB Energy Lending Policy, https://www.eib.org/attachments/strategies/eib_energy_lending_policy_en.pdf"
European Bank for Reconstruction and Development,"EBRD Energy Sector Strategy, https://www.ebrd.com/news/2018/ebrd-puts-decarbonisation-at-centre-of-newenergy-sector-strategy.html"
World Bank Group,"World Bank Group Climate Change Action Plan,  https://openknowledge.worldbank.org/handle/10986/35799 ; Recourse and Trend Asia, https://www.re-course.org/news/ closing-loopholes-how-the-ifc-can-help-end-fossil-fuel-finance/ "
Inter-American Development Bank,"IaDB Environmental and Social Policy Framework, https://www.iadb.org/en/news/idb-approves-new-environmental-and-social-policy-framework"
Islamic Development Bank,"IsDB Energy Sector Policy, https://www.isdb.org/sites/default/files/media/documents/2019-04/IsDB_Energy%20Sector%20Policy.pdf"
African Development Bank,"Energy Sector Policy of the AfDB Group, p. 22, https://www.afdb.org/fileadmin/uploads/afdb/Documents/Policy-Documents/Energy_Sector_Policy_of_the_AfDB_Group.pdf; Reuters, https://www.reuters.com/article/us-africa-investment-coal/african-developmentbank-decides-not-to-fund-kenya-coal-project-idUSKBN1XN1A8"
Asian Development Bank,"ADB Energy Policy, https://www.adb.org/documents/energy-policy-supporting-low-carbontransition-asia-and-pacific"
Asian Infrastructure Investment Bank,"AIIB Energy Sector Strategy, https://www.aiib.org/en/policies-strategies/strategies/sustainableenergy-asia/index.html"
