Institution,Source
Multiple,"For the OECD Coal Agreement see: OECD, “Sector Understanding on Export Credits for Coal-Fired Electricity Generation Projects,” 27 November 2015, http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=TAD/PG(2015)9/FINAL&docLanguage=En; Kate DeAngelis and Bronwen Tucker, “Adding Fuel to the Fire: Export Credit Agencies and Fossil Fuel Finance,” Friends of the Earth US and Mozambique, January 2020, https://1bps6437gg8c169i0y1drtgzwpengine.netdna-ssl.com/wp-content/uploads/2020/01/FoE_ECAs_R6_JM.pdf; For coal exclusion policies in place by Q2 2019 see: Ipek Gencsu et al., G20 coal subsidies: tracking government support to a fading industry, Overseas Development Institute, Natural Resources Defence Council, International Institute for Sustainable Development, and Oil Change International, June 2019, https:// www.odi.org/publications/11355-g20-coal-subsidies-tracking-government-support-fading-industry."
Brazil,"350 Brazil, “Bye bye, coal: BNDES finally leaves the dirty mineral behind,” July 2021, https://350.org/bye-bye-coal-bndes-finally-leaves-the-dirty-mineral-behind/; “Environmental Criteria to support power generation,” Brazilian Development Bank, November 2017, https://www.bndes.gov.br/SiteBNDES/bndes/bndes_en/Institucional/Social_and_Environmental_Responsibility/ socioenvironmental_policy/environmental_criteria_power_generation.html."
Canada,"Export Development Canada, EDC NET ZERO 2050: Steps, considerations and decisions along the path to net zero by 2050, pp. 4 & 8, https://www.edc.ca/en/blog/edc-net-zeroemissions-2050.html."
China,"Valerie Volcovici, David Brunnstrom, and Michelle Nichols, “In climate pledge, Xi says China will not build new coal-fired power projects abroad,” Reuters, September 2021, https://www.reuters.com/ world/china/xi-says-china-aims-provide-2-bln-vaccine-doses-by-year-end-2021-09-21/"
France,"Reuters Staff, “France to rein in export guarantees for oil and gas industry,” Reuters, October 2020, https://www.reuters.com/article/us-france-economy-export-financing-idUKKBN26X1VI; “Energy Transition Strategy 2019-2022,” Agence Francaise de Developpement, June 2019, p. 3, https://www.afd.fr/en/ressources/energy-transition-strategy-2019-2022; Paulina Pielichata, “French fund to further curb investment in thermal coal companies,” Pensions and Investments Online, 29 November 2018, https://www.pionline.com/article/20181129/ONLINE/181129859/french-fundto-further-curb-investment-in-thermal-coal-companies; CAISSE DES DÉPÔTS, “Climate: Caisse des Dépôts Group strengthens its policy on financing fossil fuels,” November 2020, https://www. caissedesdepots.fr/en/news/cdc-group-strengthens-its-policy-financing-fossil-fuels."
Germany,"KfW Group, “Exclusion List and Sectoral Guidelines of KfW Group,” https://www.kfw.de/ PDF/Download-Center/Konzernthemen/Nachhaltigkeit/Ausschlussliste_EN.pdf; Brian Parkin and William Wilkes, “German Lender Pulls Out of Coal as Merkel Vows Greener Finance,” Bloomberg, 2 July 2019, https://www.bloomberg.com/news/articles/2019-07-02/german-lender-pulls-out-of-coalas-merkel-vows-greener-finance."
Japan,"“[Joint Statement] Japan must not be allowed to violate the G7 Leaders’ Statement – Supporting new Coal Plants in Indonesia and Bangladesh goes against the Agreement,” Japan Center for a Sustainable Environment and Society (JACSES) and Friends of the Earth Japan, July 2021, https://www.kantei.go.jp/jp/singi/keikyou/dai51/siryou3.pdf; Sonia Dunlop et al., Banking on Asia: Alignment with the Paris Agreement at Six Development Finance Institutions in Asia, E3G, October 2019, https://www.e3g.org/library/executive-summary-bankingon-asia; Korea: “S.Korea’s Moon vows to end new funding for overseas coal projects,” Reuters, April 2021, https://www.reuters.com/article/global-climate-summit-southkorea-idUSL4N2MF3R2. United Kingdom: Government of the United Kingdom, “Aligning UK international support for the clean energy Transition,” March 2021, https://assets.publishing.service.gov.uk/government/uploads/ system/uploads/attachment_data/file/975753/Guidance_-_Aligning_UK_international_support_for_ the_clean_energy_transition_-_March_2021_.pdf."
United States,"New international climate finance plan from April 2021 lays out principles for new restrictions but it is not a formal policy at the time of publication. The White House Office of the Press Secretary, “Joint Statement by Kingdom of Denmark, Republic of Finland, Republic of Iceland, Kingdom of Norway, Kingdom of Sweden, and the United States of America,” 4 September 2013, https://obamawhitehouse.archives.gov/the-press-office/2013/09/04/joint-statement-kingdomdenmark-republic-finland-republic-iceland-kingdo; International Development Finance Corporation, “OPIC — Environmental and Social Policy Statement,” August 2018, https://www.dfc.gov/sites/ default/files/2019-08/consolidated_esps.pdf; Karl Mathiesen, “Kosovo turns to US after World Bank dumps coal plant,” Climate Change News, 24 October 2018, https://www.climatechangenews. com/2018/10/24/world-bank-dumps-coal-plant-kosovo-turns-us/."
,
,
European Investment Bank,"“EIB Energy Lending Policy: Supporting the energy transformation,” November 2019, https://www.eib.org/attachments/strategies/eib_energy_lending_policy_en.pdf."
European Bank for Reconstruction and Development,"“EBRD Energy Sector Strategy,” December 2018, https://www.ebrd.com/news/2018/ebrd-puts-decarbonisation-at-centre-of-newenergy-sector-strategy.html"
World Bank Group,"“World Bank Group Climate Change Action Plan 2021–2025,” April 2021, https://openknowledge.worldbank.org/handle/10986/35799 ; “Closing Loopholes: How the IFC can help end fossil fuel finance,” Recourse and Trend Asia, March 2021, https://www.re-course.org/news/ closing-loopholes-how-the-ifc-can-help-end-fossil-fuel-finance/ "
Inter-American Development Bank,"Environmental and Social Policy Framework, 2020, https://www.iadb.org/en/news/idb-approves-new-environmental-and-social-policy-framework. "
Islamic Development Bank,"“Energy Sector Policy: Sustainable Energy for Empowerment and Prosperity,” December 2018, https://www.isdb.org/sites/default/files/media/documents/2019-04/ IsDB_Energy%20Sector%20Policy.pdf."
African Development Bank,"“The Bank Group’s Strategy for The New Deal on Energy for Africa 2016 – 2025,” June 2017, https://www.afdb.org/fileadmin/uploads/afdb/Documents/GenericDocuments/Bank_s_strategy_for_New_Energy_on_Energy_for_Africa_EN.pdf; African Development Bank, “Energy Sector Policy of the AfDB Group,” accessed 15 April 2020, p. 22, https://www.afdb.org/ fileadmin/uploads/afdb/Documents/Policy-Documents/Energy_Sector_Policy_of_the_AfDB_Group. pdf; Alexander Winning, “African Development Bank decides not to fund Kenya coal,” Reuters, 13 November 2019, https://www.reuters.com/article/us-africa-investment-coal/african-developmentbank-decides-not-to-fund-kenya-coal-project-idUSKBN1XN1A8. ADB: Asian Development Bank, “ADB Energy Policy: Supporting Low-Carbon Transition in Asia and the Pacific,” October 2021, https://www.adb.org/documents/energy-policy-supporting-low-carbontransition-asia-and-pacific."
Asian Infrastructure Investment Bank,"“Energy Sector Strategy: Sustainable Energy for Asia,” Asian Infrastructure Investment Bank, June 2017 (amended April 2018), https://www.aiib.org/en/policies-strategies/strategies/sustainableenergy-asia/index.html; Example of coal rule-out language in financial intermediation: AIIB, “Turkey Isbank COVID-19 Credit Line Project,” 2021, https://www.aiib.org/en/projects/details/2021/_ download/Turkey/AIIB-PSI-P000399-Turkey-Isbank-COVID-19-Credit-Line-Sep-23-2021-Afterapproval.pdf."
